iter	Passed	Remaining
804	6125	1483
805	6131	1475
806	6137	1467
807	6142	1459
808	6148	1451
809	6166	1446
810	6172	1438
811	6178	1430
812	6185	1422
813	6191	1414
814	6196	1406
815	6202	1398
816	6209	1390
817	6216	1383
818	6221	1375
819	6229	1367
820	6236	1359
821	6243	1351
822	6249	1344
823	6255	1336
824	6260	1328
825	6267	1320
826	6274	1312
827	6281	1304
828	6287	1296
829	6292	1288
830	6299	1281
831	6305	1273
832	6311	1265
833	6317	1257
834	6324	1249
835	6330	1241
836	6337	1234
837	6343	1226
838	6350	1218
839	6356	1210
840	6364	1203
841	6371	1195
842	6377	1187
843	6383	1179
844	6389	1172
845	6395	1164
846	6400	1156
847	6406	1148
848	6418	1141
849	6424	1133
850	6431	1126
851	6438	1118
852	6444	1110
853	6453	1103
854	6460	1095
855	6466	1087
856	6472	1079
857	6479	1072
858	6485	1064
859	6492	1056
860	6499	1049
861	6507	1041
862	6514	1034
863	6521	1026
864	6528	1018
865	6535	1011
866	6541	1003
867	6547	995
868	6554	988
869	6560	980
870	6567	972
871	6574	965
872	6581	957
873	6587	949
874	6593	941
875	6599	934
876	6605	926
877	6611	918
878	6616	910
879	6623	903
880	6631	895
881	6638	888
882	6646	880
883	6652	872
884	6658	865
885	6665	857
886	6670	849
887	6677	842
888	6684	834
889	6689	826
890	6694	819
891	6700	811
892	6706	803
893	6712	795
894	6718	788
895	6722	780
896	6729	772
897	6735	765
898	6741	757
899	6748	749
900	6754	742
901	6761	734
902	6768	727
903	6789	721
904	6796	713
905	6816	707
906	6821	699
907	6824	691
908	6830	683
909	6835	676
910	6839	668
911	6844	660
912	6850	652
913	6855	645
914	6859	637
915	6863	629
916	6869	621
917	6875	614
918	6880	606
919	6884	598
920	6891	591
921	6897	583
922	6902	575
923	6907	568
924	6912	560
925	6917	552
926	6922	545
927	6929	537
928	6934	530
929	6939	522
930	6945	514
931	6949	507
932	6955	499
933	6960	491
934	6966	484
935	6972	476
936	6979	469
937	6986	461
938	6991	454
939	6997	446
940	7003	439
941	7009	431
942	7014	424
943	7020	416
944	7027	409
945	7033	401
946	7038	393
947	7043	386
948	7048	378
949	7052	371
950	7057	363
951	7062	356
952	7073	348
953	7077	341
954	7083	333
955	7089	326
956	7095	318
957	7100	311
958	7105	303
959	7109	296
960	7114	288
961	7120	281
962	7125	273
963	7130	266
964	7135	258
965	7141	251
966	7146	243
967	7151	236
968	7157	228
969	7163	221
970	7168	214
971	7175	206
972	7182	199
973	7189	191
974	7195	184
975	7200	177
976	7207	169
977	7215	162
978	7221	154
979	7228	147
980	7233	140
981	7237	132
982	7243	125
983	7248	117
984	7253	110
985	7258	103
986	7265	95
987	7272	88
988	7279	80
989	7283	73
990	7290	66
991	7296	58
992	7301	51
993	7305	44
994	7310	36
995	7315	29
996	7319	22
997	7324	14
998	7329	7
999	7334	0
